country,legislature,term,leg_start_year,row_count,n_unique_emails,person_count_legistype,ltype,url,cc,leg_start_date,lastmod,cc3,pop2024,lastmod_year
Cameroon,Assemblée Nationale,9e législature,2013,111,111,964,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/9bef00b42c6ee2532dac89ba95af48615f36f87e/data/Cameroon/Assembly/term-9.csv,CM,2013-10-29,1557279334,CMR,29394433.0,2019
Cameroon,Assemblée Nationale,8e législature,2007,72,0,964,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/37a65e37a70ff4dfea4290d872f2ba47d0a20d11/data/Cameroon/Assembly/term-8.csv,CM,2007-01-01,1557279334,CMR,29394433.0,2019
Cameroon,Assemblée Nationale,1e législature,1973,117,0,964,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/37a65e37a70ff4dfea4290d872f2ba47d0a20d11/data/Cameroon/Assembly/term-1.csv,CM,1973-01-01,1557279334,CMR,29394433.0,2019
Niger,Assemblée nationale,1ere Legislature de la 7eme Republique,2011,113,0,113,unicameral legislature,https://cdn.rawgit.com/everypolitician/everypolitician-data/554a6cb306153130ac5558e4c015471d63e57cb7/data/Niger/Assembly/term-7.1.csv,NE,2011-10-06,1485067939,NER,28238972.0,2017
Australia,Senate,36th Parliament,1990,91,0,272,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/52fa5df361b21c49602a9dd9fca8e97bbc5870b0/data/Australia/Senate/term-36.csv,AU,1990-03-24,1557717576,AUS,26889126.0,2019
Australia,Senate,37th Parliament,1993,96,1,272,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/52fa5df361b21c49602a9dd9fca8e97bbc5870b0/data/Australia/Senate/term-37.csv,AU,1993-03-13,1557717576,AUS,26889126.0,2019
Australia,House of Representatives,45th Parliament,2016,162,127,515,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/06f8627ee33f1e2cb45caf560d5b38603c8a6115/data/Australia/Representatives/term-45.csv,AU,2016-07-02,1557305306,AUS,26889126.0,2019
Australia,Senate,35th Parliament,1987,81,0,272,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/52fa5df361b21c49602a9dd9fca8e97bbc5870b0/data/Australia/Senate/term-35.csv,AU,1987-07-11,1557717576,AUS,26889126.0,2019
Australia,Senate,38th Parliament,1996,96,2,272,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/52fa5df361b21c49602a9dd9fca8e97bbc5870b0/data/Australia/Senate/term-38.csv,AU,1996-03-02,1557717576,AUS,26889126.0,2019
Australia,House of Representatives,35th Parliament,1987,155,1,515,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/06f8627ee33f1e2cb45caf560d5b38603c8a6115/data/Australia/Representatives/term-35.csv,AU,1987-07-11,1557305306,AUS,26889126.0,2019
Australia,House of Representatives,36th Parliament,1990,150,3,515,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/06f8627ee33f1e2cb45caf560d5b38603c8a6115/data/Australia/Representatives/term-36.csv,AU,1990-03-24,1557305306,AUS,26889126.0,2019
Australia,Senate,39th Parliament,1998,88,2,272,upper house,https://cdn.rawgit.com/everypolitician/everypolitician-data/52fa5df361b21c49602a9dd9fca8e97bbc5870b0/data/Australia/Senate/term-39.csv,AU,1998-10-03,1557717576,AUS,26889126.0,2019
Australia,House of Representatives,43rd Parliament,2010,158,76,515,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/06f8627ee33f1e2cb45caf560d5b38603c8a6115/data/Australia/Representatives/term-43.csv,AU,2010-08-21,1557305306,AUS,26889126.0,2019
Australia,House of Representatives,44th Parliament,2013,156,108,515,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/06f8627ee33f1e2cb45caf560d5b38603c8a6115/data/Australia/Representatives/term-44.csv,AU,2013-09-07,1557305306,AUS,26889126.0,2019
Australia,House of Representatives,41st Parliament,2004,153,36,515,lower house,https://cdn.rawgit.com/everypolitician/everypolitician-data/06f8627ee33f1e2cb45caf560d5b38603c8a6115/data/Australia/Representatives/term-41.csv,AU,2004-10-09,1557305306,AUS,26889126.0,2019
